"Date","Price","Open","High","Low","Vol.","Change %"
"17/12/2024","107,070.0","105,870.0","107,420.0","105,550.0","1.73K","1.13%"
"16/12/2024","105,870.0","104,340.0","107,580.0","103,230.0","1.88K","1.47%"
"15/12/2024","104,340.0","101,320.0","105,000.0","101,210.0","0.95K","2.98%"
"14/12/2024","101,320.0","101,370.0","102,470.0","100,560.0","0.67K","-0.05%"
"13/12/2024","101,370.0","100,010.0","101,840.0","99,228.0","0.56K","1.36%"
"12/12/2024","100,010.0","101,100.0","102,350.0","99,280.0","0.78K","-1.08%"
"11/12/2024","101,100.0","96,650.0","101,800.0","95,771.0","1.02K","4.60%"
"10/12/2024","96,650.0","97,500.0","98,357.0","94,400.0","0.78K","-0.87%"
"09/12/2024","97,500.0","101,240.0","101,280.0","94,255.0","1.58K","-3.69%"
"08/12/2024","101,240.0","99,936.0","101,480.0","98,803.0","0.42K","1.30%"
"07/12/2024","99,936.0","99,786.0","100,530.0","99,016.0","0.36K","0.15%"
"06/12/2024","99,786.0","96,833.0","101,900.0","96,283.0","1.46K","3.05%"
"05/12/2024","96,833.0","98,709.0","103,990.0","91,398.0","5.28K","-1.90%"
"04/12/2024","98,709.0","96,083.0","99,166.0","94,737.0","0.89K","2.75%"
"03/12/2024","96,065.0","95,925.0","96,402.0","93,792.0","1.52K","0.15%"
"02/12/2024","95,925.0","97,365.0","98,240.0","94,713.0","1.14K","-1.48%"
"01/12/2024","97,365.0","96,506.0","97,959.0","95,836.0","0.58K","0.89%"
"30/11/2024","96,506.0","97,579.0","97,580.0","96,222.0","0.35K","-1.08%"
"29/11/2024","97,564.0","95,761.0","98,682.0","95,511.0","0.68K","1.88%"
"28/11/2024","95,761.0","95,953.0","96,628.0","94,750.0","0.33K","-0.20%"
"27/11/2024","95,953.0","92,082.0","97,251.0","91,904.0","0.89K","4.20%"
"26/11/2024","92,082.0","93,133.0","95,083.0","90,911.0","1.06K","-1.13%"
"25/11/2024","93,133.0","97,828.0","98,690.0","92,866.0","1.68K","-4.80%"
"24/11/2024","97,828.0","97,538.0","98,381.0","95,611.0","0.78K","0.30%"
"23/11/2024","97,538.0","98,683.0","98,745.0","97,137.0","2.00K","-1.16%"
"22/11/2024","98,683.0","98,348.0","99,327.0","97,010.0","2.40K","0.34%"
"21/11/2024","98,348.0","94,243.0","98,700.0","93,996.0","2.83K","4.36%"
"20/11/2024","94,243.0","92,172.0","94,652.0","91,404.0","1.49K","2.25%"
"19/11/2024","92,172.0","90,535.0","93,751.0","90,430.0","2.04K","1.81%"
"18/11/2024","90,535.0","89,843.0","92,533.0","89,500.0","1.64K","0.77%"
"17/11/2024","89,843.0","90,538.0","91,423.0","88,758.0","0.89K","-0.77%"
"16/11/2024","90,538.0","91,015.0","91,743.0","90,088.0","0.75K","-0.52%"
"15/11/2024","91,015.0","87,305.0","91,854.0","87,120.0","1.20K","4.25%"
"14/11/2024","87,305.0","90,453.0","91,776.0","86,693.0","1.59K","-3.48%"
"13/11/2024","90,453.0","88,007.0","93,286.0","86,152.0","2.72K","2.78%"
"12/11/2024","88,007.0","88,566.0","89,933.0","85,128.0","2.92K","-0.63%"
"11/11/2024","88,566.0","80,367.0","89,528.0","80,244.0","3.62K","10.20%"
"10/11/2024","80,367.0","76,703.0","81,428.0","76,531.0","4.08K","4.78%"
"09/11/2024","76,703.0","76,496.0","76,888.0","75,746.0","0.31K","0.27%"
"08/11/2024","76,496.0","75,864.0","77,049.0","75,611.0","0.80K","0.83%"
"07/11/2024","75,864.0","75,580.0","76,655.0","74,397.0","1.43K","0.38%"
"06/11/2024","75,580.0","69,450.0","76,179.0","69,401.0","4.90K","8.83%"
"05/11/2024","69,450.0","67,858.0","70,598.0","67,541.0","0.78K","2.35%"
"04/11/2024","67,858.0","68,807.0","69,505.0","66,881.0","0.63K","-1.38%"
"03/11/2024","68,807.0","69,292.0","69,405.0","67,532.0","1.04K","-0.70%"
"02/11/2024","69,292.0","69,590.0","69,939.0","69,028.0","0.37K","-0.43%"
"01/11/2024","69,590.0","70,299.0","71,637.0","68,889.0","0.92K","-1.01%"
"31/10/2024","70,299.0","72,455.0","72,664.0","69,674.0","0.40K","-2.98%"
"30/10/2024","72,455.0","72,688.0","73,014.0","71,510.0","0.44K","-0.32%"
"29/10/2024","72,688.0","69,989.0","73,525.0","69,812.0","2.65K","3.86%"
"28/10/2024","69,989.0","68,035.0","70,287.0","67,660.0","0.73K","2.87%"
"27/10/2024","68,035.0","67,081.0","68,328.0","66,926.0","0.22K","1.42%"
"26/10/2024","67,081.0","66,734.0","67,445.0","66,456.0","0.13K","0.52%"
"25/10/2024","66,734.0","68,188.0","68,750.0","65,629.0","0.52K","-2.13%"
"24/10/2024","68,188.0","66,695.0","68,846.0","66,527.0","0.45K","2.24%"
"23/10/2024","66,695.0","67,405.0","67,436.0","65,265.0","0.45K","-1.05%"
"22/10/2024","67,405.0","67,425.0","67,824.0","66,648.0","0.40K","-0.03%"
"21/10/2024","67,425.0","69,045.0","69,554.0","66,942.0","0.58K","-2.35%"
"20/10/2024","69,045.0","68,360.0","69,375.0","68,116.0","0.31K","1.00%"
"19/10/2024","68,360.0","68,368.0","68,641.0","68,035.0","0.18K","-0.01%"
"18/10/2024","68,368.0","67,453.0","68,886.0","67,240.0","0.90K","1.36%"
"17/10/2024","67,453.0","67,657.0","67,962.0","66,724.0","0.38K","-0.30%"
"16/10/2024","67,657.0","67,123.0","68,367.0","66,861.0","1.16K","0.80%"
"15/10/2024","67,123.0","66,179.0","67,806.0","64,857.0","1.40K","1.43%"
"14/10/2024","66,179.0","62,986.0","66,555.0","62,601.0","0.81K","5.07%"
"13/10/2024","62,986.0","63,335.0","63,406.0","62,204.0","0.59K","-0.55%"
"12/10/2024","63,335.0","62,581.0","63,590.0","62,570.0","0.29K","1.20%"
